x (nm),y (nm),u (V)
-484.02683262772507,1.7307900101120337,0.1471584116390436
-484.0074316137115,-1.4321153236042405,0.1496908830695824
-483.7349398096981,-34.6787438602348,0.031738519262300736
-483.7050428457841,191.9487996928065,-0.003520747681031762
-483.68870842980715,34.98220178488107,0.10760465649746526
-483.6629272047533,-3.9144373162521457,0.15045932039201723
-483.59995380668835,-5.882012820055753,0.13660192658716033
-483.3876508002091,-9.521058170914298,0.10118359354278011
-483.2534821016977,-19.19448315165442,0.059758615120024776
-483.0702942506153,-2.731809353440647,0.150092924715039
-483.0667838378276,-6.758904043409394,0.1256463321604656
-483.0477923892932,-5.0,0.1508123842736141
-483.036896786482,43.70893319627368,0.09756481829108897
-482.9393699007508,-7.925693163528049,0.11383554842685253
-482.8583894585027,15.852138120692214,0.13015389277062095
-482.84604892298114,-163.55339732569266,-0.0012525238230741826
-482.800235810064,-153.79619758108248,-0.0011940390917715572
-482.7607312701849,-143.89336460694116,-0.0010039805466585596
-482.73105890477706,-133.91049502651987,-0.0006641201806603652
-482.7185032031328,0.0,0.14924415074575542
-482.71606696422947,-123.82598560422136,-0.0001423169749255849
-482.6947538259795,-113.73241216703323,0.0006025825334163858
-482.6807262202308,-173.18867968424934,-0.001189641348430592
-482.67752230053503,-103.6131218865792,0.00163606211801178
-482.6699214608956,-11.28430123737632,0.09031583754055923
-482.6585956668763,-93.49952704030092,0.003046643031714738
-482.6558790277208,-43.245145423834266,0.023088741589640954
-482.6345618719523,-83.38309203273245,0.00496551128425767
-482.60032631330625,-73.27764129856499,0.007578524550720779
-482.55867080758065,-5.871831003030205,0.13676821641007267
-482.5437991555899,-3.9258981775473063,0.15046725292868277
-482.52025949055627,-63.158877132561244,0.011174763846971048
-482.47535120563964,-23.74538388071593,0.048984477119022214
-482.4226425829927,-53.09399249014956,0.016159800356319278
-482.2111053275436,52.702067056100276,0.08744953915373581
-482.1705434644489,-15.587192726970205,0.0712118184831308
-482.1067356660216,-184.11728769945665,-0.0009676620737295567
-482.0455087142706,-6.917845392851668,0.12376230880823497
-482.0115545362532,-5.0,0.15080587674131432
-481.98680489839944,-195.86012762500926,-0.0005268307997539699
-481.95125780685856,-1.5106906601100896,0.1497109798234005
-481.93435138792927,2.241066568973831,0.14653136525599839
-481.7851113643802,-13.086004079437549,0.08139057116955015
-481.7374054314303,-8.293374880459215,0.11060412805439727
-481.59652182243804,61.85200176485142,0.07747430295666945
-481.56980161203023,-2.935688661964798,0.15015434882416456
-481.5076085263031,-5.929708752851565,0.13594053937199574
-481.4998320581892,-4.119037408671938,0.15052663047901496
-481.44723396792074,-9.742179082423847,0.0997243422968357
-481.19377527071686,71.24548916613702,0.06762965570750744
-481.1878577570124,4.828722329412217,0.1433973954877987
-481.106142956946,11.156039753103174,0.13575914936230352
-481.06586718233274,-7.0277502607949955,0.12254952373430122
-481.0048860495383,-5.0,0.15080781059472873
-480.9565375024602,80.78030002582685,0.058103466071910755
-480.8458636199685,90.48615792076501,0.04894539638604108
-480.76975509201753,100.21635451688027,0.040353475421650076
-480.75426070663383,110.06129925050374,0.032316965866432915
-480.7161977579679,-11.45064225188839,0.08941424858240124
-480.695112747816,119.87511058810126,0.024994963452521397
